ID,Nom,Nom latin,Taille,Origine,Type,Facade,Image
134,Amande de mer,Glycymeris glycymeris,6 cm,Sauvage,Mollusque,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Amande-de-me.png
137,Araignée de mer,Maja squinado,"16,5 cm",Sauvage,Crustacé,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Araignee-de-me.png
4126,Bar d'élevage Mr.Goodfish,Dicentrarchus labrax,,Élevage,Poisson,,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Bar-e1513876967359.png
143,Barbue,Scophthalmus rhombus,41 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Barbu.png
6558,Baudroie,Lophius spp.,50 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2018/12/Baudroie-Lophius-spp-wikimedia.png
8108,Baudroie d'Amérique,Lophius americanus,49 cm,Sauvage,Poisson,Outremer,https://www.mrgoodfish.com/wp-content/uploads/2018/12/Baudroie-Lophius-spp-wikimedia.png
146,Berlingot,Crepidula fornicata,3 cm,Sauvage,Mollusque,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Berlingot-de-mer-Nausica.png
152,Bonite à dos rayé,Sarda sarda,40 cm,Sauvage,Poisson,Méditerranée,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Bonite-a-dos-ray-e1513876904395.png
155,Bonite à ventre rayé,Katsuwonus pelamis,40 cm,Sauvage,Poisson,Méditerranée,https://www.mrgoodfish.com/wp-content/uploads/2018/01/Bonite-a-ventre-raye-2-e1515422342631.png
161,Brosme,Brosme brosme,50 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Brosme-brosme-wikimedia-common-e1513877038691.png
164,Bulot,Buccinum undatum,"5,5 cm",Sauvage,Mollusque,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Bulot-bucci-e1515420046137-1.png
173,Cardine,Lepidorhombus whiffiagonis,26 cm en Atlantique Nord Est / 27 cm en Méditerranée,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Cardin.png
176,Chinchard,Trachurus trachurus,20 cm,Sauvage,Poisson,Méditerranée,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Chinchar-e1513877383172.png
179,Chinchard à queue jaune,Trachurus mediterraneus,23 cm,Sauvage,Poisson,Méditerranée,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Chinchard-a-queue-jaune.png
182,Congre,Conger conger,75 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Congr-e1513877088435.png
185,Coque commune,Cerastoderma edule,"2,7 cm en ANE",Sauvage,Mollusque,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Coqu.png
